author,clickbait_reasons,clickbait_score,collection_method,fact_check_rating,fact_check_title,feed_url,headline,headline_original,id,label,labeling_method,needs_review,published_at,scraped_at,section,source,source_type,split,url,headline_language_detected,headline_language_probability,headline_translation_reason,headline_translation_method
,sensational_language:secreto;vague_subject,0.25,sitemap_url_slug,,,,el pasaje secreto de los emperadores y otros tesoros el coliseo de roma se reinventa para el publico,el pasaje secreto de los emperadores y otros tesoros el coliseo de roma se reinventa para el publico,5b896420e4add262,informativo,weak-rules-v1.2,False,2026-04-19T16:37:11.702000+00:00,2026-04-20T23:37:12.634316+00:00,,Infobae,internacional,train,https://www.infobae.com/cultura/2026/04/19/el-pasaje-secreto-de-los-emperadores-y-otros-tesoros-el-coliseo-de-roma-se-reinventa-para-el-publico/,es,0.999996,kept,kept_original
Juan Castro,,0.0,rss,,,https://e00-marca.uecdn.es/rss/portada.xml,Arsenal 0-0 Sporting Portugal,Arsenal 0-0 Sporting de Portugal,3ad0d906bdd53721,informativo,weak-rules-v1.2,False,2026-04-15T23:09:56+02:00,2026-04-20T23:37:33.225379+00:00,Champions League,Marca,internacional,validation,https://www.marca.com/futbol/champions-league/2026/04/15/arsenal-0-0-sporting-portugal-resumen-champions-leagu-video.html,pt,0.857137,detected_non_es,GoogleTranslator(auto->es)
,,0.0,sitemap_url_slug,,,,si planea un viaje en automovil programar bajar en el camino,si planea un viaje en automovil programar bajar en el camino,12f71a14e6ab9877,informativo,weak-rules-v1.2,False,2011-11-19T17:40:00+00:00,2026-04-20T23:28:55.090086+00:00,,CNN Chile,nacional,test,https://www.cnnchile.com/pais/si-planea-un-viaje-en-automovil-programar-bajar-en-el-camino_20111119/,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,hay un muy bajo nivel de tolerancia a visiones distintas,hay un muy bajo nivel de tolerancia a visiones distintas,2adedd1969f3b851,informativo,weak-rules-v1.2,False,2011-11-21T23:42:00+00:00,2026-04-20T23:28:55.085965+00:00,,CNN Chile,nacional,test,https://www.cnnchile.com/pais/hay-un-muy-bajo-nivel-de-tolerancia-a-visiones-distintas_20111121/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,marca un avance sustantivo en la relacion chile y eeuu firman acuerdo en seguridad y memorandum sobre tierras raras,marca un avance sustantivo en la relacion chile y eeuu firman acuerdo en seguridad y memorandum sobre tierras raras,6649895e4f8178c1,informativo,weak-rules-v1.2,False,2026-04-20T20:14:04.391000+00:00,2026-04-20T23:29:50.271022+00:00,,La Tercera,nacional,train,https://www.latercera.com/nacional/noticia/marca-un-avance-sustantivo-en-la-relacion-chile-y-eeuu-firman-acuerdo-en-seguridad-y-memorandum-sobre-tierras-raras/,es,0.999995,kept,kept_original
EL PAÍS,,0.0,rss,,,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada,Carlos Baute se disculpa por los insultos racistas a Delcy Rodríguez durante el acto de María Corina Machado en Madrid,Carlos Baute se disculpa por los insultos racistas a Delcy Rodríguez durante el acto de María Corina Machado en Madrid,80729708394b6535,informativo,weak-rules-v1.2,False,2026-04-20T16:13:13+00:00,2026-04-20T23:35:21.111456+00:00,Carlos Baute,El Pais,internacional,train,https://elpais.com/gente/2026-04-20/carlos-baute-se-disculpa-por-los-insultos-racistas-a-delcy-rodriguez-durante-el-acto-de-maria-corina-machado-en-madrid.html,es,0.999995,kept,kept_original
,,0.0,news_sitemap,,,,Estados Unidos mantiene niveles récord de nacimientos de hijos de inmigrantes indocumentados pese a nuevas restricciones,Estados Unidos mantiene niveles récord de nacimientos de hijos de inmigrantes indocumentados pese a nuevas restricciones,c1c15541451ab36f,informativo,weak-rules-v1.2,False,2026-04-19T00:20:00.332000+00:00,2026-04-20T23:37:12.647252+00:00,,Infobae,internacional,validation,https://www.infobae.com/estados-unidos/2026/04/19/estados-unidos-mantiene-niveles-record-de-nacimientos-de-hijos-de-inmigrantes-indocumentados-pese-a-nuevas-restricciones/,es,0.999993,kept,kept_original
,,0.0,news_sitemap,,,,"Una ballena jorobada lleva 19 días encallada, la iban a dejar morir y dos millonarios hacen un último intento para salvarla","Una ballena jorobada lleva 19 días encallada, la iban a dejar morir y dos millonarios hacen un último intento para salvarla",e3f6c4b18dafd920,informativo,weak-rules-v1.2,False,2026-04-18T20:05:41+00:00,2026-04-20T23:37:29.642221+00:00,,Clarin,internacional,train,https://www.clarin.com/internacional/ballena-jorobada-lleva-19-dias-encallada-iban-dejar-morir-ahora-lanzan-ultimo-intento-reloj-salvarla_0_1szrmmKf8h.html,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,subsidio de discapacidad quienes pueden acceder a este beneficio y cuanto entrega,subsidio de discapacidad quienes pueden acceder a este beneficio y cuanto entrega,4bd1b8b056f25246,informativo,weak-rules-v1.2,False,2026-04-20T15:24:30-03:00,2026-04-20T23:28:58.913511+00:00,,El Mostrador,nacional,train,https://www.elmostrador.cl/datos-utiles/2026/04/20/subsidio-de-discapacidad-quienes-pueden-acceder-a-este-beneficio-y-cuanto-entrega/,es,0.999997,kept,kept_original
Andrés Rodríguez,,0.0,rss,,,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada,"‘The Love That Remains’, un retrato surrealista y tragicómico de una familia fracturada","‘The Love That Remains’, un retrato surrealista y tragicómico de una familia fracturada",74f424f2d5d5286e,informativo,weak-rules-v1.2,False,2026-04-20T16:03:18+00:00,2026-04-20T23:35:21.130627+00:00,México,El Pais,internacional,train,https://elpais.com/mexico/2026-04-20/the-love-that-remains-un-retrato-surrealista-y-tragicomico-de-una-familia-fracturada.html,es,0.85714,kept,kept_original
,,0.0,sitemap_url_slug,,,,velan a inspectora asesinada tras ataque con arma blanca en colegio de calama familia pide justicia,velan a inspectora asesinada tras ataque con arma blanca en colegio de calama familia pide justicia,04980d4d40aa0827,informativo,weak-rules-v1.2,False,2026-03-28T21:39:36-03:00,2026-04-20T23:28:49.394851+00:00,,BioBioChile,nacional,train,https://www.biobiochile.cl/noticias/nacional/region-de-antofagasta/2026/03/28/velan-a-inspectora-asesinada-tras-ataque-con-arma-blanca-en-colegio-de-calama-familia-pide-justicia.shtml,es,0.999992,kept,kept_original
,,0.0,sitemap_url_slug,,,,incendio centro historico santiago bomberos terceras alarma 06 04 2026,incendio centro historico santiago bomberos terceras alarma 06 04 2026,d09f9e144ed89958,informativo,weak-rules-v1.2,False,2026-04-06T02:57:00-04:00,2026-04-20T23:31:41.222251+00:00,,Meganoticias,nacional,test,https://www.meganoticias.cl/nacional/518796-incendio-centro-historico-santiago-bomberos-terceras-alarma-06-04-2026.html,pt,0.65602,kept,kept_original
,sensational_language:alerta,0.15,sitemap_url_slug,,,,la cidh alerta que persiste la crisis de derechos humanos en nicaragua,la cidh alerta que persiste la crisis de derechos humanos en nicaragua,c6ce1ba57b1f808c,informativo,weak-rules-v1.2,False,2026-04-18T14:02:07.246000+00:00,2026-04-20T23:37:12.682911+00:00,,Infobae,internacional,train,https://www.infobae.com/nicaragua/2026/04/18/la-cidh-alerta-que-persiste-la-crisis-de-derechos-humanos-en-nicaragua/,es,0.999997,kept,kept_original
Francisca Soto,"sensational_language:impactante,increible;clickbait_framing:este es;vague_subject",0.42,rss,,,https://www.fmdos.cl/feed/,El impactante procedimiento estético que se realizó Luis Jara: este es su increíble antes y después,El impactante procedimiento estético que se realizó Luis Jara: este es su increíble antes y después,0ba2fc912b43815e,clickbait,manual-review-v1.0,False,2026-04-20T21:27:57+00:00,2026-04-20T23:33:18.756906+00:00,Espectáculos,FMDOS,nacional,train,https://www.fmdos.cl/espectaculos/el-impactante-procedimiento-estetico-que-se-realizo-luis-jara-este-es-su-increible-antes-y-despues/,es,0.999996,kept,kept_original
,curiosity_gap:lo que;vague_subject,0.36,sitemap_url_slug,,,,el betis no se hace problemas y confirma a pellegrini pase lo que pase,el betis no se hace problemas y confirma a pellegrini pase lo que pase,d2b4ca2fb0d49131,informativo,manual-review-v1.0,False,2026-04-14T19:33:05.158000+00:00,2026-04-20T23:35:09.999042+00:00,,En Cancha,nacional,train,https://www.encancha.cl/chilenos-por-el-mundo/2026/04/14/el-betis-no-se-hace-problemas-y-confirma-a-pellegrini-pase-lo-que-pase/,es,0.999995,kept,kept_original
,vague_subject,0.1,sitemap_url_slug,,,,el aire que puede frenar a nuevo leon,el aire que puede frenar a nuevo leon,4b68e092b4337335,informativo,weak-rules-v1.2,False,2026-03-09T19:29:42.388000+00:00,2026-04-20T23:37:12.699845+00:00,,Infobae,internacional,train,https://www.infobae.com/america/opinion/2026/03/09/el-aire-que-puede-frenar-a-nuevo-leon/,es,0.999996,kept,kept_original
,vague_subject,0.1,sitemap_url_slug,,,,el fanatismo el antisemitismo y el antitrumpismo de una guerra,el fanatismo el antisemitismo y el antitrumpismo de una guerra,fe2eadc2c7c42d0f,informativo,weak-rules-v1.2,False,2026-03-17T16:12:55.523000+00:00,2026-04-20T23:37:12.699245+00:00,,Infobae,internacional,train,https://www.infobae.com/america/opinion/2026/03/17/el-fanatismo-el-antisemitismo-y-el-antitrumpismo-de-una-guerra/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,murio luis brandoni a los 86 anos,murio luis brandoni a los 86 anos,300279958b4f2364,informativo,weak-rules-v1.2,False,2026-04-20T11:48:04.220000+00:00,2026-04-20T23:37:12.636946+00:00,,Infobae,internacional,test,https://www.infobae.com/teleshow/2026/04/20/murio-luis-brandoni-a-los-86-anos/,es,0.857041,kept,kept_original
,,0.0,news_sitemap,,,,Streamer Cristorata podría recibir pena de cárcel por insultos racistas durante transmisión en Kick,Streamer Cristorata podría recibir pena de cárcel por insultos racistas durante transmisión en Kick,2ad3be6dbf2032f7,informativo,weak-rules-v1.2,False,2026-04-20T14:34:45.550000+00:00,2026-04-20T23:37:12.677233+00:00,,Infobae,internacional,validation,https://www.infobae.com/peru/2026/04/20/streamer-cristorata-podria-recibir-pena-de-carcel-por-insultos-racistas-durante-transmision-en-kick/,es,0.999996,kept,kept_original
,,0.0,rss,,,https://www.infobae.com/arc/outboundfeeds/rss/category/america/mundo/,India convocó al embajador de Irán en protesta por los disparos contra sus petroleros en el estrecho de Ormuz,India convocó al embajador de Irán en protesta por los disparos contra sus petroleros en el estrecho de Ormuz,567bbc61ca249099,informativo,weak-rules-v1.2,False,2026-04-18T17:24:23+00:00,2026-04-20T23:36:23.865279+00:00,,Infobae,internacional,train,https://www.infobae.com/america/mundo/2026/04/18/india-convoco-al-embajador-de-iran-en-protesta-por-los-disparos-contra-sus-petroleros-en-el-estrecho-de-ormuz/,es,0.999995,kept,kept_original
,,0.0,rss,,,https://www.infobae.com/arc/outboundfeeds/rss/category/america/mundo/,JD Vance viaja a Islamabad junto a altos funcionarios de la Casa Blanca para una nueva y aún incierta ronda de negociaciones con Irán,JD Vance viaja a Islamabad junto a altos funcionarios de la Casa Blanca para una nueva y aún incierta ronda de negociaciones con Irán,3f619a78b0d2e7c8,informativo,weak-rules-v1.2,False,2026-04-20T08:32:08+00:00,2026-04-20T23:36:23.855384+00:00,,Infobae,internacional,validation,https://www.infobae.com/america/mundo/2026/04/20/jd-vance-viaja-a-islamabad-junto-a-altos-funcionarios-de-la-casa-blanca-para-una-nueva-ronda-de-negociaciones-con-iran/,es,0.999995,kept,kept_original
